SENTENCE,SENTIMENT
He share his work at a genome-editing conference in Hong Kong.,0
"CRISPR-Cpf1 may be better than CRISPR-Cas9 in another way, too.",1
"Katherine Bourzac  What if we could build A nuclear reactor that costs half as much, consumes nuclear waste, and will never melt down?",1
"""It's scary,"" said Dr. Alexander Marson, a gene editing expert at the University of California in San Francisco.",-1
"Patent experts say companies must decide whether to choose a side from among these, perhaps license from more than one to hedge their bets, or just use the technology and seek a license only when necessary.",-1
"And, you know, biology is moving at high speed, fortunately for Boston.",1
"""And we need to have them now.""",0
"The flightless bird, native to the Indian Ocean island of Mauritius, nested on the ground and laid only one egg at a time.",0
"The program has no additional charges or fees, says Dr. Chung.",1
There is one more problem she wants to solve: how to design plants that will be able to store more carbon dioxide in their roots.,1
What's not so widely appreciated is how close the technology is to large-scale implementation in agriculture and in our food.,0
"It also suggests that Jacques Miller, 86, needn't be by his phone on Oct. 2, when the medicine Nobel is announced.",0
Most medications now on the market are for attacks already under way.,1
The big question is whether CRISPR crops will be governed by the same regulations as GMOs.,0
"For farmers, the effects of climate change can be simply put: the weather has become far more unpredictable, and extreme weather has become far more common.",-1
"A plant bacterium or gene gun is used to get the tool into the plant cell; once inside, the proteins zero in on a specific DNA sequence.",0
The models then tease out the specific risk factors for C. difficile at that hospital.,0
"The DNA of eukaryotes--animals, plants, fungi and so on--is both more abundant and more complex than that.",0
"""The challenge is how do we assess the possible effect, what the ecological risks might be,"" he said.",-1
"She said she feels “a strong sense of responsibility"" to help the millions waiting for organs in her homeland: “I regard myself as a Chinese scientist.",1
Federal funding and more collaboration between government agencies and laboratories currently trying to develop a gene drive are a vital part of the equation.,1
"""Crispr is the next step,"" says Ms. Furlong, ""because it can permanently change people's DNA.""",1
So the experiment was needless.,-1
There are at least two ways for cells to repair DNA damage.,0
"The advance, reported on Wednesday in the journal Nature by researchers at Harvard Medical School, is the latest and perhaps most astonishing example of the genome's potential as a vast storage device.",1
"But many scientists are pressured not to, she acknowledged.",-1
"Growing up in Sweden, he bucked an educational system designed to channel students into narrow specializations.",-1
"This possibility is explored by Angela Juhász of Murdoch University, in Western Australia, and her colleagues in an associated paper in Science Advances.",0
"Dr. Miller, a physician and molecular biologist, is a fellow at Stanford University's Hoover Institution.",0
"In almost every cell in Ornella's body, as in every human body, there are two copies of the human genome, one from her mother, one from her father.",0
"MATT ROGERS, 30  You and Tony Fadell, one of the creators of the iPhone and iPod, started Nest after both of you left Apple.",0
she asked in a New England Journal of Medicine piece.,0
"He goes, ""You know what?",0
"Dean Foods, the parent company of Garelick Farms, blamed the closure on falling milk sales when making the announcement to employees on Tuesday.",-1
"""I said, 'That's a terrible idea.",-1
"That list could be about to grow, however.",1
"More patients have had their genes edited since, according to doctors involved in those tests, though none of China's Crispr trials have published results.",0
"“I was so furious,” Dr. Musunuru said.",-1
"But the Chinese researchers have leaped into what many consider a dangerous arena, altering reproductive cells, also known as germline editing.",-1
Large pharmaceutical companies are eyeing the technology for research.,0
"He's planning a startup company to turn rehoming cells into cancer killers, Shah said, adding that in the year since the new study was submitted to the journal, he and his colleagues have obtained more data on how well CRISPR'd rehoming tumor cells can attack cancer: “We're in it for the long term.""",1
"Even the hedge fund manager Thomas U. Barton, who made his mark as a skeptical short-seller, gushes.",1
"Wells's ""Men Like Gods"" (1923) plants ""had been trained and bred to make new and unprecedented secretions, waxes, gums, essential oils and the like, of the most desirable quality"", which could serve as a slightly flowery mission statement for half the companies in this tq.",1
And other Klotho experts think there’s a huge amount of work left to do first to figure out how Klotho affects the brain.,0
"""They've got themselves in a political bind by having such a sweet deal for their dairymen at the expense of their consumers,"" Mr. Perdue said.",-1
"""I'm 70% happy and 30% uncertainty,"" he said in an English voice message to a colleague that night.",1
"Unmanned spacecraft have discovered that the planets surrounding us are more puzzling, peculiar and dynamic than we would ever have thought.",0
The seeds in my palm optimized the farm for large-scale machinery and chemical regimens; they reduced the need for labor; they elbowed out the competition (formally known as biodiversity).,1
"There is now one variety of genetically modified corn, tolerant to moderate drought, which would improve overall productivity by only about 1 percent in the United States.",-1
"sufferers faced forced sterilization, among other problems.",-1
"In some of the first gene editing trials, scientists collected cells from patients’ blood, made the necessary genetic edits, and then infused the modified cells back into the patients.",0
"But of all the developments emerging now, it’s technology focused on the human body that would appear to introduce the most chaos into the system.",-1
The Netherlands and Sweden don't think they are.,0
"A flurry of good news this year ought to convince the public, more than ever, of the safety and the tremendous promise of this technology.",1
"Bayer set up an ""Ambassador Program"" to coach crop scientists and other employees for public speaking and talking to consumers.",1
Legend's move Mr Chase's visit to China was not without its jarring moments.,-1
I went to see it with my then-boyfriend (now husband) on the big screen and it really captured my imagination.,1
The Gates Foundation does not expect to be ready for field trials for at least eight years.,-1
"The agency, which has tightened regulations on testing new biotech crops in response to similar, previous discoveries, said there was no sign that the wheat had entered the food supply or export channels.",0
"Intrexon also owns a majority stake in AquaBounty Technologies, whose fast-growing salmon is the first genetically engineered animal to win federal approval for a spot on American dinner plates.",1
"That increased the percentage of eggs that developed into embryos and also improved the embryos' quality, making them more like naturally fertilized eggs.",1
"In Burkina Faso, scientists have been releasing Anopheles doused with fluorescent dust in order to track them.",0
"To find out how it could be done, I visited the lab of Guoping Feng, a biologist at MIT's McGovern Institute for Brain Research, where a colony of marmoset monkeys is being established with the aim of using CRISPR to create accurate models of human brain diseases.",0
"According to UNAids, 21.7m people worldwide receive ART.",0
"Loxo Oncology, maker of Carina's medicine, exemplifies the role smaller companies are playing.",1
"  @FTMag 5 Simon Kuper #MeToo and the evolution of man 6 The Inventory Edmund de Waal, artist and author 8 Tech World The lure of bike sharing in China 10 Robert Shrimsley Why Twitter jokes are a serious business 10 Letters 12 Meet the Brexit negotiators Michel Barnier and David Davis speak to George Parker and Alex Barker about their uneasy relationship and the talks that will determine Britain's fate 22 Masters of Science: in the genes A technology known as CRISPR allows quick and precise editing of the code of life.",1
"The country's most common genetic disorder, sickle cell affects some 100,000 people in the United States — causing severe pain, stroke, organ failure, and premature death.",-1
Stringent guidelines are the key to navigating the future of making babies without losing our humanity — and theirs.,-1
"“And I think patients and doctors are going to have some caution about a genetic therapy.""",-1
"Among Willmer's findings:  ■ About 30 percent of fund manager appointments in the equity unit have gone to women in 2018, the most in five years..  ■ Janet Glazer, who has an MBA from Massachusetts Institute of Technology, was tapped in June for the senior leadership team that oversees the business.",1
"But it was a heady time for scientists in China, with President Xi Jinping urging them to ""innovate, innovate, innovate!""",1
"""This important decision puts controls on gene drives using simple, common sense principles: don't mess with someone else's environment, territories and rights without their consent,"" says Jim Thomas, co-executive director of ETC Group, a technology watchdog organisation.",1
"Planted on a large scale, she explains, these might suck enough carbon dioxide out of the atmosphere to help slow down climate change.",1
"Earlier this year, we signed collaboration and licensing agreements with Cambridge-based Intellia Therapeutics for the discovery and development of new medicines using CRISPR (clustered regularly interspaced short palindromic repeats) genome editing technology.",1
Crispr -- while powerful -- isn't foolproof.,-1
"In such cases, the hazards become markedly amplified because the editing intervenes in so-called germ line cells that are transmitted from one generation to another.",-1
"When cells from the rat-grown mouse pancreas were transplanted into a diabetic mouse, they made enough insulin to cure the condition without being rejected.",1
Off-target effects occur because of how CRISPR works.,-1
"While UC said it was weighing an appeal, experts on intellectual property said they couldn't imagine the university not appealing, given the stakes.",0
AuthorAffiliation  Antonio Regalado is MIT Technology Review's senior editor for biomedicine.,0
"  VARIATIONS ON A THEME  There are no secrets  1Last weekend, President Trump was dining with Japan's prime minister at Mar-a-Lago when news of a North Korean missile test arrived.",-1
"The human-organ-growing pigs would be examples of chimeras, animals composed of two different genomes.",0
"The goal, he said, was to engineer babies who would not be vulnerable to H.I.V.",1
"""It's easy to say, 'I'm not Watson,""' said Kenneth Gibbs, a researcher at the N.I.H.",0
Even a small glitch becomes a disaster.,-1
"""Making children rather than accepting them as a gift, as I said.",-1
"In 1980, he issued a fatwa, or ruling, permitting IVF and similar procedures, so long as they involved a husband and a wife and no eggs or sperm from a third party.",0
Credit: By Jim Kozubek Globe Staff,0
These babies were not otherwise in any greater danger of catching the virus than anyone else.,0
"For years, some policymakers, historians and scientists have been calling for a voluntary moratorium on the modification of the DNA of human reproductive cells.",-1
"""It is a significant advancement in the field, but it is not a silver bullet,"" said Walter Leal, who studies insect olfaction at UC Davis and was not involved in the new study.",1
"  In a step that some of the nation's leading scientists have long warned against and that has never before been accomplished, biologists in Oregon have edited the DNA of viable human embryos efficiently and apparently with few ­mistakes, according to a ­report in Technology Review.",-1
"When the scientists shut down two genes, called Hoxa-13 and Hoxd-13, the mice developed normal long bones in their legs.",1
"""AFTER INJECTION, THESE ...",0
Transplants between humans and from animals to humans developed at roughly the same time.,0
"No one knows just why it works, but the operating assumption has been that its therapeutic effects derive from electrical stimulation of very specific brain regions; neurosurgeons exert extraordinary effort to place electrodes with the utmost precision.",0
"I have sensors on my feet so I can perceive the seismic activity of the planet: when there’s an earthquake somewhere, I feel it.",0
"""There's no question there's very strong expertise in China on automation, roboticisation and miniaturisation,"" he says.",1
"Then, in March of 2015, two fly biologists in California, Ethan Bier and his student Valentino Gantz, announced they'd created a selfish gene that fulfilled Burt's prophecy.",0
"One man who did know was there, waiting—a U.S.-educated researcher, Dr.",0
"By editing early embryos, we could reduce the incidence of genetically influenced diseases such as Alzheimer's and some types of breast cancer.",1
"Like CRISPR Therapeutics, Intellia and Editas were once cagey about their development pipelines, but in documents filed with the government prior to their IPOs, they had to spell out the what, when, and how of their work.",0
And fuel is just one way that algae may help save the planet.,1
"“It's for his track record of innovations and of coming up with big ideas that change fields,"" Cima said.",1
"""There is probably a whole universe of unexplored drug targets in the cancer cell,"" Dr. Sheltzer said.",0
The European Parliament voted by a large majority in September to ban agricultural cloning and the sale of cloned livestock on the grounds that cloned offspring suffer more health problems than conventional animals .,-1
Gene editing has attracted major investment because of its potential to cure deadly intractable diseases.,1
"The experiment interfered with the insect's sex chromosomes, so that the number of fertile females born declined quickly from generation to generation.",0
"“Instead of 'We got ours, and you can't have yours,' we're saying, 'Why don't we make ours better, yours better, and everyone's better?""'",1
"For instance, Fibrocell is developing a gene therapy for a rare genetic skin disease and OvaScience is researching a way for women to undergo in vitro fertilization without needing hormone shots.",1
"Once technical questions are resolved, clinical trials could start with extensive oversight, the report said.",0
"In a statement that same day, Sarepta called ICER's approach “fatally flawed"" and that “ICER's model is unfit to evaluate rare disease populations in a manner that would encourage innovation.""",-1
“I've been waiting to have some hope for my own child and others.,1
"The U.K. has been on the leading edge of fertility research, including with other genetic technologies, such as mitochondrial transfer.",1
 A controversial proposal to use new technology to edit the genes of human embryos - the first such experiment outside China - has been approved by the UK regulator.,-1
"That should be banned,"" He said in one of the videos.",-1
"Sidebar  ""I try to be realistic ...",0
"UC, however, is in a fight with the Cambridge, Mass.-based Broad Institute and the Massachusetts Institute of Technology before the US Patent and Trademark Office over which side deserves the intellectual property for that technology.",-1
  Researchers apply for licence months after Chinese team become first to announce they have altered DNA  Scientists in Britain have applied for permission to genetically modify human embryos as part of a research project into the earliest stages of human development.,0
"The question for the USPTO in its hearings, which start on March 9th, is which party made the discovery in the lab first--something that is as yet not clear.",0
"It is often assumed that it was humans who domesticated dogs, but it may be that their progenitors chose us as much as we chose them.",0
We want people to have an open mind about the issues rather than respond straight away.,1
A molecule of rna is created that velcroes itself to a specific sequence in the genome; a companion protein then slices through the bit of dna thus highlighted.,0
"Instead, it deletes or splices in part of an organism's own genome.",0
"Soon after that breakthrough, a young scientist named Feng Zhang, of the Broad Institute of Massachusetts Institute of Technology and Harvard, published a paper showing how CRISPR could be applied to mammalian cells.",0
It took years of research for scientists to elucidate how Crispr serves as the immune system for these organisms.,0
"In February, US patent officials ruled that patents on CRISPR belong to the Broad, MIT, and Harvard, a decision that could boost the fortunes of local companies that won licenses, including Editas Medicine in Cambridge.",1
Researchers have also adopted new genetic techniques to optimize flowering times and make plants more resistant to the rigors of a warming planet.,1
Steven Spielberg directed this summer blockbuster classic.,1
"""I never felt I was discriminated against.",-1
Scientists in China recently made monkeys with changes in two genes.,0
Bryce Elder,0
"Once I recognized it, I stopped driving.""",-1
Not all current attempts at agricultural genome editing use CRISPR/Cas9.,0
Patent dispute  Also hanging over the research is a patent fight.,-1
"Field-testing will begin later this year to examine how long suberin stays in the soil . A prototype Ideal Plant could be produced within five years, the group says, and large-scale rollout could happen within a decade.",1
CRISPR took the genome-editing field by storm starting in 2013 because it uses easy-to-construct nucleic acids like RNA to edit genes.,1
Forming a patent pool would allow researchers or companies around the world to obtain a one-stop license more efficiently.,1
"The school has narrowed the hunt to a handful of finalists, and hopes to pick a winner this fall.",1
"Once conventional therapy had failed, her doctors had few other options.",-1
"The tool has generated hundreds of millions of dollars in investment, a tense patent battle and even a forthcoming Jennifer Lopez TV drama.",1
"In future, the procedure could be used on healthy people at risk of the disease to make them resistant to infection.",1
Swiss seed company Syngenta is pitching gene editing's sustainability benefits to environmental groups.,1
Intellia will use IPO proceeds for purposes including advancing the progress of its product candidates and developing delivery technologies.,1
"But he became the target of venomous online attacks last week because of an essay he wrote on the history of CRISPR, the revolutionary genome-editing technology pioneered partly by his colleagues at the Broad Institute in Cambridge.",-1
"I manage the whole process from start to finish, making sure documentation is accurate and on time.",1
"The second band, called the central symmetry system, contains the pattern in the middle of the wings, and the third band holds the eye spots.",0
"CRISPR has already been used to make human cells in lab dishes impervious to HIV, to identify genes that allow cancer to spread, to cure mice of muscular dystrophy, to create micro-pigs that a Chinese genetics institute is selling as pets, and to make mosquitoes that block the malaria parasite.",1
"Many of the institutions involved in research on genetic engineering are already doing outreach to the public, explaining how gene editing works.",1
There are those who will oppose CRISPR because it lets humans play God.,-1
These could have devastating consequences.,-1
"Until now, the work has amounted to little more than D.I.Y.",0
"If traditional gene editing is like taking a pair of molecular scissors to a DNA strand to alter a genome, then the new technique, known as base editing, is like using a pencil and eraser, scientists say.",0
"""I would buy into that,"" said James P. Collins, an evolutionary ecologist at Arizona State University and co-chairman of the N.A.S.",1
The question he and others had was whether it would work outside of bacteria.,0
"MR. PERDUE: If you look at what we said, this was not an effort to make farmers whole.",-1
"It is a hot, smoggy July weekend in Beijing, and the gates to the Forbidden City are thronged with tens of thousands of sweat-drenched tourists.",-1
"-Ethan Zuckerman, selected as an Innovator Under 35 in 2002for founding Geekcorps, a network of IT volunteers who helpedfledgling businesses in poor countries.",1
The University of California system has appealed to US patent officials to review the decision.,0
"The new gene-editing technologies enable scientists to achieve some of the same effects by altering the plants' own DNA, without inserting new genes.",0
The methods for using CRISPR improved as well.,1
"""We focused on Aedes because we saw it as a great unmet need,"" says Haydn Perry, Oxitec's chief executive.",-1
The group delivered its report at a morning news conference at the National Academy of Sciences' headquarters in Washington.,0
"Eight couples were involved in the research, of which one woman implanted with gene-edited embryos carried to term, bearing twins, and a second pregnancy occurred.",0
"In a world of waning diversity, what if we could give breeders the resources to create new crop varieties, as accessible as they are craveable?",1
"Crispr, which stands for Clustered Regularly Interspaced Short Palindromic Repeats, is part of the immune system of bacteria.",0
"UC has not challenged the other 30 or so CRISPR patents that the office has awarded, including those to Harvard for inventions by geneticist George Church, largely because they cover narrower innovations.",-1
All Rights Reserved.,0
"""There's this almost schizophrenic approach that applies both to fish and octopus,"" Franks said.",0
"You could siftthem through your fingers and taste their sweet, cloudy flavor.",0
"Mass Innovation Labs, the newest entrant, is looking to expand aggressively.",1
"But there is a deeper problem, too.",-1
"But his original presentation only detailed lab work on the embryos and didn't include the fact they had been implanted into a woman, according to Robin Lovell-Badge of the Francis Crick Institute, who is also involved with the conference and said he reviewed it.",0
"Crispr holds the potential to forever change the arc of humanity, making its ethical use everyone’s responsibility.",1
Its ruling overturns a stricter interpretation of insider trading made by the federal appeals court in New York two years ago.,0
"There are currently 116 clinical trials registered in the country, according to a US government database, compared with 96 in the US and 15 in Europe, giving it a lead that would have been unthinkable when the treatment was first discovered.",1
asks the scientist.,0
"""I know in the back of my head, but you want to stay unbiased,"" a graduate student in the lab, Tatianna Wong, told me.",0
Credit: Editorial,0
"Still, the country's scientists are outraged, with 122 signing a letter calling his work ""crazy"".",-1
"The system, known as Crispr-Cas9, is embroiled in a high-stakes patent dispute for control over what many scientists believe is a groundbreaking technology that serves as a kind of multipurpose molecular scissors that can cut DNA and make repairs and insert changes into genes.",1
"He makes his case mainly by describing the development of CRISPR-Cas9 as a system for genetic engineering in human cells, with a narrative beginning in 2011.",0
"The history of the Boston area cluster can be traced to the late 1970s and early 1980s, when Biogen and Genzyme, two biotech drugmakers, were founded by scientists from nearby academic institutions.",0
"You see mammals with horns all over the place, but not winged reptiles.",0
"The type of seed also dictates the fertilizer, pesticide and fungicide regimen, sold by the same company as part of the package, requiring a particular planter and sprayer (40 feet and 140 feet wide, respectively) and producing a per-acre yield that is startling, and startlingly easy to predict.",1
But this influence is one factor in a larger system.,0
"Ahmad Khalil, a bioengineer at Boston University who was not involved in the study, said making the leap to bacteria like Bacteroides was a leading area of innovation.",1
"Of course, that's where the ecological and ethical fun starts.",1
"To get around this problem, Cellectis used the CAR method to change a donor's cells in such a way that they could now seek and kill previously hidden leukemia cells.",1
"There is now a patent on ""low pungency"" onions and ""brilliant white"" cauliflower.",0
"The Adimab team said it found the flu treatment's sequence was on average more than 92% similar to a drug described in a 2011 paper , while the Zika drug was more than 96% similar to a dengue virus drug described in 2015 .",0
He didn't respond to requests for comment.,0
"Scientists have used it to generate new strains of wheat, to cure a genetic disease in the livers of adult mice, and to produce altered fungal cells capable of efficient biofuel synthesis.",1
Synthego said Wednesday that it had raised $41 million in a new round of financing.,1
And the Zen priest Michael LaTorra argues that transhumanism promises to achieve the Buddha's mission of eliminating all forms of suffering.,1
Casebia issued its last previous news release on July 8.,0
That means there must be a reversible genetic switch that controls the ant life span.,0
"The decision turned on two key, related points: whether the work that Broad scientist Feng Zhang (above) did to make CRISPR edit the genome of mammalian cells was “obvious"" in light of what Jennifer Doudna, of the University of California Berkeley, and her colleagues accomplished in editing free-floating DNA in test tubes, and whether Zhang and other scientists trying to do that had a “reasonable expectation of success.""",0
"In Mexico, opposition has focused on preventing the use of genetically modified maize, which could hybridize with teosinte, corn's wild ancestor.",-1
These philanthropists are attracted to carbon dioxide removal for different reasons.,0
Its shares are up 50 per cent since its IPO.,1
"  Homology Medicines Inc. has raised $43.5 million to join the race to create gene-editing therapies, a field attracting interest from investors and companies because of its potential to cure genetic diseases.",1
It took 20 years of NIH funded research to develop the Crispr gene-editing technology that is now being used by the private sector to create new medicines and therapies.,1
"Much of the site is currently subleased to 10 biotech startups, employing between 15 and 80 researchers and scientists.",0
But the technology was looking for an important problem to solve.,1
Mr. Mukherjee offers no clear argument to back up this dire warning.,-1
The public is worried.,-1
"  A year ago, Dr. Matthew Porteus, a genetics researcher at Stanford, received an out-of-the-blue email from a young Chinese scientist, asking to meet.",0
Climate change is where we have this total need to do it now.,-1
"Opponents point to ""off-target"" events, or errors, that have led to unwanted mutations in the labs.",-1
"  A gene-editing company files for an IPO  AS DIFFICULT sales pitches go, this one is hard to beat.",1
"""A sad day for European plant science.""",-1
They are upbeat about future therapies.,1
"That becomes particularly important with complex diseases like autism and schizophrenia, which for the most part are not caused by the type of single DNA change behind sickle-cell anemia.",0
"Together these data points may, through genome sequencing, be deciphered to reveal features of our individual biological futures.",0
"The specific approach on which Novartis will be working with Intellia and Caribou is called CRISPR, an acronym for clustered regularly interspaced short palindromic repeats.",0
She would probably develop a severe sleep disorder and become hyperactive and aggressive.,-1
Congress could vote on the pact this year.,0
"""This was one of the most meaningful experiences I've had in my academic life,"" says the 51-year-old Collins.",1
"Since the banana is a monoculture based on a single genetic clone, ""you cannot breed out [disease] like you can do with other crops,"" he notes, adding: ""This technology was generated to fit this need.""",-1
"I know that for small institutions, having a distinctive niche is especially important.",0
"U.S. Treasury Secretary Steven T. Mnuchin is still planning to attend, as is Moelis & Co.'s Ken Moelis, a representative for the boutique investment bank said.",0
Efforts in this direction are well advanced.,1
The FDA recently cleared two more Crispr trials.,1
We talk about trying to feed 10 billion people by 2050 and needing to maintain the productivity curve that we have today.,-1
"""It makes me feel incredibly lucky,"" Haurwitz said.",1
"""There are ways that we could monitor and breed elephants for specific circumstances.",0
Figuring out that recipe-the precise set of ingredients and steps needed to direct a cell's development-has become one of biology's most daunting puzzles.,-1
"Ms. Jackson knew that a related compound, cyanide, was common in foods across Africa, particularly in the staple crop cassava (which you may know as tapioca).",0
"That summit statement after the meeting in Washington was agreed to by the scientific academies of the US, the United Kingdom, and China-the last of these an arm of the central government.",1
"And after more than $1 billion in research, Alnylam has finally reached late-stage human trials on an RNAi drug for a rare, life-threatening disease that results from the buildup of misfolded proteins.",1
"The software maker said three-year annual sales growth would be in the mid-to-high teens depending on cloud revenue, rather than the 20 per cent investors expected.",-1
That argument may well prevail.,1
"Roger Ross Williams's vibrant homage to this institution includes archival snippets of past performances, as well as interviews with Smokey Robinson, Patti LaBelle, Pharrell Williams, and others who have appeared on the Apollo stage.",1
"Izpisúa Belmonte cautions that epigenetic tweaks won't ""make you live forever,"" but they might delay your expiration date.",-1
"Mei Fong, a Pulitzer Prize-winning journalist, is the author of “One Child: The Story of China’s Most Radical Experiment.”  Follow The New York Times Opinion section on Facebook , Twitter (@NYTopinion) and Instagram .",0
He is a professor of genetics at Rockefeller University in New York.,0
"So far the new evidence from the LHC has mostly just confirmed the standard model of physics, which helps explain everything from the birth of time to the end of the world.",0
He spent much of a scientific meeting in Miami a few days later holed up in his hotel room poring over CRISPR papers.,0
"""This is a remarkable advance,"" Kevin Esvelt of Harvard University said of the new study, in which he wasn't involved.",1
The world has already warmed by 1C; to prevent a temperature rise of 2C or more - after which millions of people are likely to face dangerous heatwaves and droughts - many scientists argue that we must add a new strategy to the mix.,-1
"""Photosynthesis is the most effective way to sequester carbon,"" says Ilkka Herlin, a Finnish billionaire who runs Cargotec, a container logisticscompany.",1
"""We had to come up with a fancy name to please the reviewers,"" Zhang said, ""but SAM was really for them.""",1
Robert Weisman can be reached at robert.weisman@globe.com.,0
"In the 1927 case of Buck v. Bell, the U.S. Supreme Court upheld the constitutionality of Virginia's program.",0
"The mosquito and her diseases have accompanied traders, travelers, soldiers and settlers (and their captive African slaves) around the world and have been far more lethal than any manufactured weapons or inventions.",-1
The women of the Cultural Support Teams that Ms. Lemmon writes about took a chance against all odds and stepped out into the unknown to give their best for love of their country.,1
"In the UK, for example, embryos with altered genetic material must be destroyed at 14 days old and cannot be implanted (except in rare cases of mitochondrial disease).",0
"Reputations are at stake, too.",-1
"In numerous environmental bacteria and those used in yoghurt making, scientists had noticed unique patterns of repeated letters in the cells' DNA: repeating sequences with short palindromic stretches (which, like the word ""racecar"", read the same forwards and backwards).",0
"The stock jumped 20.1 per cent to $38.22 yesterday, with Vertex Pharmaceuticals gaining 1 per cent to $187.58.",1
"Others are more focused on short-term goals, such as improving the manufacture of vaccines.",1
Six more calves died soon after birth.,-1
"He had designed the study poorly, and they labeled his ethical considerations a “failure.” Some scientists who watched Dr.",-1
" In what is being billed as a medical first, scientists in London have used a new technique in a last-ditch effort to cure a child with otherwise untreatable leukemia.",1
"Scientists are seeking sophisticated ways of understanding why small changes in genetic make-up could increase the risk of diseases, an area known as functional genomics.",1
"The tribe he studied, called the Tsimane, subsist mostly on what they grow and hunt in the jungle, and about two-thirds have intestinal parasites.",-1
"There is even less support for more frivolous germline editing: 83 percent said altering DNA prenatally to improve ""intelligence or physical characteristics"" should be illegal.",-1
"He drove for years “and shouldn't have,"" Church said.",-1
"The world has within its reach a tool to give people healthier, longer and better-quality lives.",1
"HUBweek, now in its third year, was founded by The Boston Globe, Harvard University, Massachusetts General Hospital, and the Massachusetts Institute of Technology.",0
"Not only is this providing hope for a cure for genetic diseases such as sickle cell anaemia and Huntington's disorder, this accurate form of genome editing will soon enter the first FDAapproved clinical trial in the US as an anti-cancer therapy to treat multiple myeloma, melanoma and sarcoma.",1
A U.S.D.A.,0
But we are a community bank and aren't going to just send you a demand notice if you're three days past due.,-1
"""We're living in an amazing moment in cancer immunotherapies,"" said Alexander Marson, a microbiology and immunology professor at the University of California at San Francisco.",1
A single paper does not a new medical procedure make.,0
"Researchers at the University of California, San Diego, showed that the idea could really work by spreading a gene in fruit flies reared in the lab.",1
And those changes would be passed on to future generations.,0
"The National Security Council, Gates said, is an appropriate office to ""show leadership on this issue and decide how to coordinate the various groups"" within the government.",1
Nam Y. Huh/Associated Press,0
Kientz's solution was for therapists to use a digital recording pen and special paper that could digitize their writing.,0
Trainer follows the complex and arduous installation of a work by the artist Nick Cave; and the tearful triumph at its completion reflects the museum's impact on both the art world and the town itself.,-1
"That's a ton of genetic handiwork for one little pig to handle, and early signs are it might be too much.",-1
"""Now we can closely monitor patients' responses to therapy and see what's causing treatments to fail.""",-1
"Izpisúa Belmonte, a shrewd and soft-spoken scientist, has access to an inconceivable power.",1
"Starting in the 1990s, it introduced corn, soybean, canola, and other crops that are genetically modified to withstand its Roundup herbicide, for instance, allowing farmers to apply it without collateral damage and increase their yields.",1
"Several other gene editing companies and university groups hope to begin clinical trials in patients this year, working with other versions of Crispr.",0
"The upcoming pressures on agricultural production, he says, ""[are] real and will affect millions of people in poor countries.""",-1
All are trading above their issue prices.,1
In lieu of a field test — which the DARPA Safe Genes contract expressly forbids and for which researchers agree the technology is not ready — teams are scaling up cage experiments and building ecological models to explore the benefits and risks of a wild release safely.,-1
"In addition, before clinical trials can begin, the team will have to figure out a way to scale up the ability to edit genes.",0
It raised $108 million in an initial public offering in May.,0
Other studies have suggested that the order of mutations can make a big difference in how a creature evolves.,0
"UC says it's a team at its Berkeley lab headed by Jennifer Doudna, with the collaboration of Emmanuelle Charpentier, now of Germany's Helmholtz Centre for Infection Research.",0
One problem the group often encounters: doctoral candidates who have been so focused on working in the lab that they barely consider how to ready themselves for the job market until they're almost done with their programs.,-1
Regulatory agencies have been willing to consider testing Crispr-Cas9 therapies that treat diseases in individuals.,1
That runs up Partners' energy bill.,-1
The proportion of people who die at 26 is now less than one in a thousand.,1
The cartilage that separates the nostrils inside the nose is known as the septum.,0
Nor did they follow the pheromone trails their siblings left.,0
This fits nicely with our existing technology.,1
He and his colleagues have filed for patents on ABE.,0
"Investigators have made leaps forward in HIV vaccine development, microbiome and circadian rhythm research, immunotherapy, and the genome editing tool known as CRISPR/Cas9, among other fields.",1
"Crispr is based in Basel, Switzerland, and has research and development operations in Cambridge, Mass.",0
AuthorAffiliation  Antonio Regalado is MIT Technology Review's senior editor covering biomedicine.,0
We want an open dialogue.,1
Klogene also has been testing compounds that can raise the production of Klotho.,1
"The outpouring of rage directed at him arises from what one veteran biomedical researcher calls ""pent-up animosity"" toward Lander and the Broad Institute, where he serves as director, that has built up over years.",-1
"Tubes coming from their headgear reveal that their air supply is filtered, too.",0
"Scientists are seeking sophisticated ways of understanding why small changes in genetic make-up could increase the risk of diseases, an area known as functional genomics.",1
"But his patent was granted first, in 2014.",1
"""Everything I've learned here says we're not ready to be doing this yet, and that we have to perfect the technologies and get a better consensus,"" Dr. Baltimore said in an interview after the conference.",-1
"In the early 1980s, there was a burst of optimism with the advent of a new suite of molecular tools that probed the genome.",1
"Just over a year ago, an international group of scientists said it would be ""irresponsible to proceed"" with making heritable changes to the human genome until risks could be better assessed and there was ""broad societal consensus about the appropriateness"" of any proposed change.",-1
he says.,0
"A few months ago, a European court ruled that Crispr should be regulated in the same way as GM products, but no similar ruling has been made in the US.",0
The U.S. cleared its first Crispr trial only this year even though the technology was partly invented there in 2012.,-1
I turn 50 this year.,0
"The sequences, it turns out, are part of a sophisticated immune system that bacteria use to fight viruses.",1
Obesity?,-1
"One day, this gene editing technology might also be used to create “augmented"" organs that are more disease resistant, helping patients better fight off infections after they've received an implant.",1
Another concern: Sometimes cells spontaneously acquire a mutation that disables the p53 gene.,-1
